company_ticker,isin,company_name,sector,industry,industry_code,industry_description
SANDHAR,INE278H01035,Sandhar Technologies Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
KDDL,INE291D01011,KDDL Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
LIK,DE000A0JDBC7,Limes Schlosskliniken AG,Health Care,Health Care Delivery,HC-DY,"The Health Care Delivery industry owns and manages hospitals, clinics and other health care related facilities. Entities provide a range of services, including inpatient and outpatient care, surgery, mental health, rehabilitation and clinical laboratory services. Demand for health care delivery services is driven largely by insurance coverage rates, demographics, illness and injury rates. The industry is characterised by high fixed labour and facilities costs, and an increased regulatory focus on reduced costs of care and improved outcomes. Health care delivery entities also face significant competition for patients and resources from private, non-profit and religious health care systems."
KTI,MYQ0308OO005,KTI LANDMARK BHD,Financials,Asset Management & Custody Activities,FN-AC,"Asset Management & Custody Activities industry entities manage investment portfolios on a commission or fee basis for institutional, retail and high net-worth investors. In addition, entities in this industry provide wealth management, private banking, financial planning, and investment advisory and retail securities brokerage services. Investment portfolios and strategies may be diversified across multiple asset classes, which may include equities, fixed income and hedge fund investments. Specific entities are engaged in venture capital and private equity investments. The industry provides essential services to a range of customers from individual retail investors to large, institutional asset owners to meet specified investment goals. Entities in the industry range from large multi-jurisdictional asset managers with a wide range of investable products, strategies and asset classes to small boutique entities providing services to specific market niches. While large entities generally compete based on management fees charged for their services as well as their potential to generate superior investment performance, the smaller entities generally compete on their ability to provide products and services customised to satisfy the diversification needs of individual clients. The global 2008 financial crisis and subsequent regulatory regime developments highlight the industry’s importance in providing fair advice to customers and managing risks at the entity, portfolio and macroeconomic levels."
FIEM,INE737H01014,FIEM Industries Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
SRTY,INE421C01016,TVS Srichakra Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
NINE,CA2477541049,Delta 9 Cannabis Inc,Extractives & Minerals Processing,Metals & Mining,EM-MM,"The Metals & Mining industry is involved in extracting metals and minerals, producing ores, quarrying stones, smelting and manufacturing metals, refining metals, and providing mining support activities. Entities also produce iron ores, rare earth metals, and precious metals and stones. Larger entities in this industry are integrated vertically – from mining across global operations to wholesaling metals to customers."
GRV,INE224A01026,Greaves Cotton Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
DG,US2566771059,Dollar General Corporation,Consumer Goods,Multiline and Specialty Retailers & Distributors,CG-MR,"The Multiline and Specialty Retailers & Distributors industry encompasses a variety of retailing categories such as department stores, mass merchants, home products stores and warehouse clubs, as well as a smaller segment of distributors like electronics wholesalers and automotive wholesalers. These entities (except for the distribution segment) commonly manage global supply chains to anticipate consumer demands, keep costs low and keep products stocked in their brick-and-mortar storefronts. This is a highly competitive industry in which each category generally has a small number of important players characterised by generally low margins. The relatively substitutable nature of retail makes entities in this industry especially susceptible to reputational risks."
SUNCLAY,,,,,,
BLSE,INE0NLT01010,BLS E-Services Ltd,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
ASAB,SE0016101521,Advanced Soltech Sweden AB,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,RR-ST,"Solar Technology & Project Developers industry entities manufacture solar energy equipment, including solar photovoltaic (PV) modules, polysilicon feedstock, solar thermal electricity-generation systems, solar inverters and other related components. Entities also may develop, build and manage solar energy projects and offer financing or maintenance services to customers. The industry uses two primary technologies: PV and concentrated solar power (CSP). Within solar PV, two main technologies exist: crystalline silicon-based solar and thin-film solar, which includes panels made using copper indium gallium selenide and cadmium telluride. The primary markets for solar panels are residential, non-residential (commercial and industrial) and utility-scale projects. Entities in the industry operate globally."
HINDWARE,,,,,,
ATXL,INE449A01011,Automotive Axles Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
FLAIR,INE00Y201027,Flair Writing Industries Ltd,Consumer Goods,Household & Personal Products,CG-HP,"Household & Personal Products industry entities manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors and kitchen utensils. Household and personal products entities operate globally and typically sell their products to mass merchants, grocery stores, membership club stores, drug stores, high-frequency stores, distributors and e-commerce retailers. Some entities sell products through independent representatives rather than third-party retail establishments."
CARYSIL,,,,,,
FLTX,INE816B01027,Filatex India Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
DREAMFOL,INE0JS101016,Dreamfolks Services Ltd,Services,Professional & Commercial Services,SV-PS,"The industry includes entities that rely on the unique skills and knowledge of their employees to serve a range of clients. Services are often provided on an assignment basis, where an individual or team is responsible for the delivery of services to clients. Offerings include, but are not limited to, management and administration consulting services, such as staffing and executive search services; legal, accounting, and tax preparation services; and financial and non-financial information services. Non-financial information service providers may specialise in an array of topics such as energy, healthcare, real estate, technology, and science. Financial information service entities include credit and rating agencies as well as data and portfolio analytics providers. Customers of professional and commercial service providers include private and public for-profit institutions and non-profit organisations."
NILK,INE310A01015,Nilkamal Ltd,Consumer Goods,Building Products & Furnishings,CG-BF,"Entities in the Building Products & Furnishings industry design and manufacture home improvement products, home and office furnishings, and structural wood building materials. The industry’s products include flooring, ceiling tiles, home and office furniture and fixtures, wood trusses, plywood, panelling and lumber. Entities typically sell their products through distribution channels to retail stores or through independent or entity-owned dealerships."
GDYR,INE533A01012,Goodyear India Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
PCJL,INE785M01013,PC Jeweller Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
GNPL,INE845D01014,Ganesha Ecosphere Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
TAJG,INE586B01026,TAJ GVK Hotels & Resorts Ltd,Services,Hotels & Lodging,SV-HL,"Hotels and lodging industry entities provide overnight accommodation, including hotels, motels and inns. This competitive industry is comprised primarily of large hotel chains in which customers base purchase decisions on a wide range of factors including quality and consistency of services, availability of locations, price, and loyalty programme offers. Entities often are structured in one or more of the following ways: direct revenue from hotel services, including room rental and food and beverage sales; management and franchise services with fee revenue from property management; and vacation residential ownership with revenue from sales of residential units."
SOMC,INE355A01028,Somany Ceramics Ltd,Consumer Goods,Building Products & Furnishings,CG-BF,"Entities in the Building Products & Furnishings industry design and manufacture home improvement products, home and office furnishings, and structural wood building materials. The industry’s products include flooring, ceiling tiles, home and office furniture and fixtures, wood trusses, plywood, panelling and lumber. Entities typically sell their products through distribution channels to retail stores or through independent or entity-owned dealerships."
PGIL,INE940H01014,Pearl Global Industries Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
DIVGIITT,INE753U01022,Divgi Torqtransfer Systems Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
OAH,INE276C01014,EIH Associated Hotels,Services,Hotels & Lodging,SV-HL,"Hotels and lodging industry entities provide overnight accommodation, including hotels, motels and inns. This competitive industry is comprised primarily of large hotel chains in which customers base purchase decisions on a wide range of factors including quality and consistency of services, availability of locations, price, and loyalty programme offers. Entities often are structured in one or more of the following ways: direct revenue from hotel services, including room rental and food and beverage sales; management and franchise services with fee revenue from property management; and vacation residential ownership with revenue from sales of residential units."
LUMX,GB00B13YVW48,Highbridge Multi-Strategy Fund Ltd,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
SNGM,INE495C01010,Sangam India Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
TCNSBR,INE778U01029,TCNS Clothing Co Ltd,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
AOTHAIM,SA1230K1UGH7,Abdullah Al Othaim Markets Co,Consumer Goods,Multiline and Specialty Retailers & Distributors,CG-MR,"The Multiline and Specialty Retailers & Distributors industry encompasses a variety of retailing categories such as department stores, mass merchants, home products stores and warehouse clubs, as well as a smaller segment of distributors like electronics wholesalers and automotive wholesalers. These entities (except for the distribution segment) commonly manage global supply chains to anticipate consumer demands, keep costs low and keep products stocked in their brick-and-mortar storefronts. This is a highly competitive industry in which each category generally has a small number of important players characterised by generally low margins. The relatively substitutable nature of retail makes entities in this industry especially susceptible to reputational risks."
ONE,CA67088Q1063,01 Communique Laboratory Inc,Technology & Communications,Software & IT Services,TC-SI,"The Software & Information Technology (IT) Services industry offers products and services globally to retail, business and government customers, and includes entities that develop and sell applications software, infrastructure software and middleware. The industry generally is competitive but with dominant players in some segments. Although relatively immature, the industry is characterised by high-growth entities that place a heavy emphasis on innovation and depend on human and intellectual capital. The industry also includes IT services entities delivering specialised IT functions, such as consulting and outsourced services. New industry business models include cloud computing, software as a service, virtualisation, machine-to-machine communication, big data analysis and machine learning. Additionally, brand value is important for entities in the industry to scale and achieve network effects, whereby wide adoption of a particular software product may result in self-perpetuating growth in sales."
ASIY,LK0419N00008,Asia Siyaka Commodities PLC,Financials,Investment Banking & Brokerage,FN-IB,"Investment Banking & Brokerage industry entities perform a wide range of functions in the capital markets, including raising and allocating capital and providing market-making and advisory services for corporations, financial institutions, governments and high net-worth individuals. Specific activities include financial advisory and securities underwriting services conducted on a fee basis; securities and commodities brokerage activities, which involve buying and selling securities or commodities contracts and options on a commission or fee basis; and trading and principal investment activities, which involve the buying and selling of equities, fixed income, currencies, commodities and other securities for client-driven and proprietary trading. Investment banks also originate and securitise loans for infrastructure and other projects. Entities in the industry generate revenues from global markets and, therefore, are exposed to various regulatory regimes. The industry continues to face regulatory pressure to reform and disclose aspects of operations that present systemic risks. Specifically, entities are facing new capital requirements, stress testing, limits on proprietary trading and increased scrutiny over compensation practices."
WMS,US00790R1041,"Advanced Drainage Systems, Inc.",Resource Transformation,Industrial Machinery & Goods,RT-IG,"Industrial machinery and goods industry entities manufacture equipment for a variety of industries including construction, agriculture, energy, utility, mining, manufacturing, automotive and transportation. Products include engines, earth-moving equipment, trucks, tractors, ships, industrial pumps, locomotives and turbines. Machinery manufacturers use large amounts of raw materials for production, including steel, plastics, rubber, paints and glass. Manufacturers also may machine and cast parts before final assembly. Demand in the industry is tied closely to industrial production, while government emissions standards and customer demand are encouraging innovations to improve energy efficiency and limit air emissions during product use."
BARBEQUE,INE382M01027,Barbeque Nation Hospitality Ltd,Food & Beverage,Restaurants,FB-RN,"Entities in the Restaurants industry prepare meals, snacks and beverages to customers’ orders for immediate on- and off-premises consumption. Broadly divided into three sub-categories, the restaurant industry includes limited-service eating places, casual full-service eating places and upscale full-service eating places. Limited-service restaurants provide services to customers who order and pay before eating. Fast-food restaurants represent the largest share of the limited-service restaurants segment. Full-service restaurants offer more service, food for consumption primarily on-premises, and typically reflect higher quality food and prices."
ADRS-R-A,HRADRSPA0009,Adris Grupa DD,Food & Beverage,Tobacco,FB-TB,"The Tobacco industry is comprised of entities that manufacture tobacco products including cigarettes, cigars, and smokeless tobacco products. Many large tobacco entities operate globally. Entities may obtain or sell exclusive rights to sell certain brands of cigarettes in diverse markets. Most tobacco is grown by independent tobacco farmers, who typically sell their crops to tobacco merchants or to manufacturers under contract."
JSNV,RSJSANE66628,Jasenovo ad Nova Varos,Food & Beverage,Agricultural Products,FB-AG,"The Agricultural Products industry is engaged in processing, trading and distributing vegetables and fruits, and producing and milling agricultural commodities such as grains, sugar, consumable oils, maize, soybeans and animal feed. Entities sell products directly to consumers and businesses for use in consumer and industrial products. Entities in the industry typically purchase agricultural products from entities that grow such products (either directly or indirectly) to then conduct value-adding activities (for example, processing, trading, distributing and milling). Agricultural products entities also are involved in wholesale and distribution. Entities in the industry may source a substantial portion of agricultural commodities from third-party growers in various countries. Therefore, managing sustainability risks within the supply chain is critical to securing a reliable raw materials supply and reducing the risk of price increases and volatility over the long term."
PRECAM,INE484I01029,Precision Camshafts Ltd,Transportation,Auto Parts,TR-AP,"Entities in the Auto Parts industry supply motor vehicle parts and accessories to original equipment manufacturers (OEM). Auto parts entities typically specialise in manufacturing and assembling parts or accessories, such as engine exhaust systems, alternative drivetrains, hybrid systems, catalytic converters, aluminium wheels (rims), tyres, rear-view mirrors, and onboard electrical and electronic equipment. Although the larger automotive industry includes several tiers of suppliers that provide parts and raw materials used to assemble motor vehicles, the scope of these Auto Parts industry disclosures includes only Tier 1 suppliers that supply parts directly to OEMs. The scope of the industry excludes captive suppliers, such as engine and stamping facilities, owned and operated by OEMs. It also excludes Tier 2 suppliers, which provide inputs for the Auto Parts industry."
FILATFAS,,,,,,
ANF,US0028962076,Abercrombie & Fitch Co.,Consumer Goods,"Apparel, Accessories & Footwear",CG-AA,"The Apparel, Accessories & Footwear industry includes entities involved in the design, manufacturing, wholesaling and retailing of various products, including adult and children’s clothing, handbags, jewellery, watches and footwear. Products are manufactured primarily by vendors in emerging markets, thereby allowing entities in the industry to focus on design, wholesaling, marketing, supply chain management and retail activities."
HUVR,INE030A01027,Hindustan Unilever Ltd,Consumer Goods,Household & Personal Products,CG-HP,"Household & Personal Products industry entities manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors and kitchen utensils. Household and personal products entities operate globally and typically sell their products to mass merchants, grocery stores, membership club stores, drug stores, high-frequency stores, distributors and e-commerce retailers. Some entities sell products through independent representatives rather than third-party retail establishments."
DMART,INE192R01011,Avenue Supermarts Ltd.,Food & Beverage,Food Retailers & Distributors,FB-FR,"The Food Retailers & Distributors industry consists of entities engaged in wholesale and retail sales of food, beverage and agricultural products. Store formats include retail supermarkets, convenience stores, warehouse supermarkets, liquor stores, bakeries, natural food stores, specialty food stores, seafood stores and distribution centres. Entities may specialise in one type of store format or have facilities that contain many formats. Products typically are sourced worldwide and include fresh meat and produce, prepared foods, processed foods, baked goods, frozen and canned foods, non-alcoholic and alcoholic beverages, and a wide selection of household goods and personal care products. Food retailers also may produce or sell private-label products."
6381,JP3122450004,Anest Iwata Corp,Resource Transformation,Industrial Machinery & Goods,RT-IG,"Industrial machinery and goods industry entities manufacture equipment for a variety of industries including construction, agriculture, energy, utility, mining, manufacturing, automotive and transportation. Products include engines, earth-moving equipment, trucks, tractors, ships, industrial pumps, locomotives and turbines. Machinery manufacturers use large amounts of raw materials for production, including steel, plastics, rubber, paints and glass. Manufacturers also may machine and cast parts before final assembly. Demand in the industry is tied closely to industrial production, while government emissions standards and customer demand are encouraging innovations to improve energy efficiency and limit air emissions during product use."
VBL,INE200M01013,Varun Beverages Ltd,Food & Beverage,Processed Foods,FB-PF,"Processed Foods industry entities process and package foods such as bread, frozen foods, snack foods, pet foods and condiments for retail consumer consumption. Typically, these products are made ready to consume, are marketed for retail consumers and can be found on food retailers’ shelves. The industry is characterised by large and complex ingredient supply chains, because many entities source ingredients from around the world. Large entities operate globally, and international opportunities are driving growth."
GCPL,US37931J2033,Global Capital Partners Inc,Financials,Investment Banking & Brokerage,FN-IB,"Investment Banking & Brokerage industry entities perform a wide range of functions in the capital markets, including raising and allocating capital and providing market-making and advisory services for corporations, financial institutions, governments and high net-worth individuals. Specific activities include financial advisory and securities underwriting services conducted on a fee basis; securities and commodities brokerage activities, which involve buying and selling securities or commodities contracts and options on a commission or fee basis; and trading and principal investment activities, which involve the buying and selling of equities, fixed income, currencies, commodities and other securities for client-driven and proprietary trading. Investment banks also originate and securitise loans for infrastructure and other projects. Entities in the industry generate revenues from global markets and, therefore, are exposed to various regulatory regimes. The industry continues to face regulatory pressure to reform and disclose aspects of operations that present systemic risks. Specifically, entities are facing new capital requirements, stress testing, limits on proprietary trading and increased scrutiny over compensation practices."
ASBE,GB0007395642,Associated British Engineering PLC,Resource Transformation,Industrial Machinery & Goods,RT-IG,"Industrial machinery and goods industry entities manufacture equipment for a variety of industries including construction, agriculture, energy, utility, mining, manufacturing, automotive and transportation. Products include engines, earth-moving equipment, trucks, tractors, ships, industrial pumps, locomotives and turbines. Machinery manufacturers use large amounts of raw materials for production, including steel, plastics, rubber, paints and glass. Manufacturers also may machine and cast parts before final assembly. Demand in the industry is tied closely to industrial production, while government emissions standards and customer demand are encouraging innovations to improve energy efficiency and limit air emissions during product use."
TATACONS,,,,,,
DABUR,INE016A01026,Dabur India Ltd,Consumer Goods,Household & Personal Products,CG-HP,"Household & Personal Products industry entities manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors and kitchen utensils. Household and personal products entities operate globally and typically sell their products to mass merchants, grocery stores, membership club stores, drug stores, high-frequency stores, distributors and e-commerce retailers. Some entities sell products through independent representatives rather than third-party retail establishments."
UNITDSPR,,,,,,
CLGT,INE259A01022,Colgate-Palmolive India Ltd,Consumer Goods,Household & Personal Products,CG-HP,"Household & Personal Products industry entities manufacture a wide range of goods for personal and commercial consumption, including cosmetics, household and industrial cleaning supplies, soaps and detergents, sanitary paper products, household batteries, razors and kitchen utensils. Household and personal products entities operate globally and typically sell their products to mass merchants, grocery stores, membership club stores, drug stores, high-frequency stores, distributors and e-commerce retailers. Some entities sell products through independent representatives rather than third-party retail establishments."
PG,MYL3611OO000,Paragon Globe Bhd,Infrastructure,Real Estate,IF-RE,"Real Estate industry entities own, develop and operate income-producing real estate assets. Entities in this industry commonly are structured as real estate investment trusts (REITs) and operate in a wide range of real estate industry segments, including residential, retail, office, health care, industrial and hotel properties. REITs typically participate in direct real estate asset ownership, thereby providing investors with the opportunity to obtain real estate exposure without direct asset ownership and management. Although REITs often concentrate on individual Real Estate industry segments, many REITs diversify investments across multiple property types."
PATANJAL,INE619A01035,Patanjali Foods Ltd,Food & Beverage,Agricultural Products,FB-AG,"The Agricultural Products industry is engaged in processing, trading and distributing vegetables and fruits, and producing and milling agricultural commodities such as grains, sugar, consumable oils, maize, soybeans and animal feed. Entities sell products directly to consumers and businesses for use in consumer and industrial products. Entities in the industry typically purchase agricultural products from entities that grow such products (either directly or indirectly) to then conduct value-adding activities (for example, processing, trading, distributing and milling). Agricultural products entities also are involved in wholesale and distribution. Entities in the industry may source a substantial portion of agricultural commodities from third-party growers in various countries. Therefore, managing sustainability risks within the supply chain is critical to securing a reliable raw materials supply and reducing the risk of price increases and volatility over the long term."
DUBA,BD0121DUBBL4,Dutch-Bangla Bank Ltd,Financials,Commercial Banks,FN-CB,"Commercial banks accept deposits and make loans to individuals and corporations, and engage in lending to infrastructure, real estate and other projects. By providing these services, the industry serves an essential role in the functioning of global economies and in facilitating the transfer of financial resources to their most productive capacity. The industry is driven by the volume of deposits, quality of loans made, the economic environment and interest rates. The risk from mismatched assets and liabilities further characterises the industry. The regulatory environment governing the commercial banking industry witnessed significant changes in the wake of the 2008 global financial crisis and continues to evolve today. These and other regulatory trends may affect performance. Commercial banks with global operations must manage new regulations in many jurisdictions that are creating regulatory uncertainty, particularly regarding the consistent application of new rules."
AWLTD,INE699H01024,Adani Wilmar Ltd,Food & Beverage,Agricultural Products,FB-AG,"The Agricultural Products industry is engaged in processing, trading and distributing vegetables and fruits, and producing and milling agricultural commodities such as grains, sugar, consumable oils, maize, soybeans and animal feed. Entities sell products directly to consumers and businesses for use in consumer and industrial products. Entities in the industry typically purchase agricultural products from entities that grow such products (either directly or indirectly) to then conduct value-adding activities (for example, processing, trading, distributing and milling). Agricultural products entities also are involved in wholesale and distribution. Entities in the industry may source a substantial portion of agricultural commodities from third-party growers in various countries. Therefore, managing sustainability risks within the supply chain is critical to securing a reliable raw materials supply and reducing the risk of price increases and volatility over the long term."
GDSP,INE233A01035,Godrej Industries Ltd,Resource Transformation,Chemicals,RT-CH,"Entities in the Chemicals industry transform organic and inorganic feedstocks into more than 70,000 diverse products with a range of industrial, pharmaceutical, agricultural, housing, automotive and consumer applications. The industry commonly is segmented into basic (commodity) chemicals, agricultural chemicals and specialty chemicals. Basic chemicals, the largest segment by volume produced, include bulk polymers, petrochemicals, inorganic chemicals and other industrial chemicals. Agricultural chemicals include fertilisers, crop chemicals and agricultural biotechnology. Specialty chemicals include paints and coatings, agrochemicals, sealants, adhesives, dyes, industrial gases, resins and catalysts. Larger entities may produce basic, agricultural and specialty chemicals, but most entities are specialised. Chemicals entities typically manufacture and sell products globally."
RDCK,INE944F01028,Radico Khaitan Ltd,Food & Beverage,Alcoholic Beverages,FB-AB,"Alcoholic Beverages industry entities brew, distil and manufacture various alcoholic beverages including beer, wine and liquor. Entities in this industry transform agricultural products including sugar, barley and corn, into finished alcoholic beverages. The largest entities have global operations with portfolios of man branded products. Levels of vertical integration within the industry vary because of regulation in different markets. Breweries generally have multiple manufacturing facilities to provide access to different markets, while vintners and distillers typically are located where they have a history of production."
